Gender,Country of Birth,Demographic Group,Value,SAL_NAME_2021,Year,Predicted_Value
M,Afghanistan,55 years and over,3,Footscray,2026,27.79866666666667
M,Afghanistan,55 years and over,6,Frankston,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Fraser Rise,2026,27.79866666666667
M,Afghanistan,55 years and over,8,Glen Waverley,2026,27.79866666666667
M,Afghanistan,55 years and over,39,Hallam,2026,27.79866666666667
M,Afghanistan,55 years and over,60,Hampton Park,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Hillside (Melton - Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,3,Hoppers Crossing,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Keysborough,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Kialla,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Lara,2026,27.79866666666667
M,Afghanistan,55 years and over,20,Lynbrook,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Lyndhurst (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,7,Lysterfield,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Malvern (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,3,Mickleham,2026,27.79866666666667
M,Afghanistan,55 years and over,24,Mildura,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Mulgrave (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,44,Narre Warren,2026,27.79866666666667
M,Afghanistan,55 years and over,10,Narre Warren North,2026,27.79866666666667
M,Afghanistan,55 years and over,83,Narre Warren South,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Noble Park,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Noble Park North,2026,27.79866666666667
M,Afghanistan,55 years and over,6,Norlane,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Officer,2026,27.79866666666667
M,Afghanistan,55 years and over,8,Pakenham,2026,27.79866666666667
M,Afghanistan,55 years and over,6,Point Cook,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Preston (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,10,Rowville,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Scoresby,2026,27.79866666666667
M,Afghanistan,55 years and over,47,Shepparton,2026,27.79866666666667
M,Afghanistan,55 years and over,7,Skye (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,3,Springvale (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,10,Swan Hill,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Tarneit,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Taylors Hill,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Thomastown,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Wantirna,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Wheelers Hill,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Wollert,2026,27.79866666666667
M,Afghanistan,55 years and over,6,Berwick,2026,27.79866666666667
M,Afghanistan,55 years and over,8,Clyde North,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Cranbourne,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Cranbourne East,2026,27.79866666666667
M,Afghanistan,55 years and over,15,Cranbourne North,2026,27.79866666666667
M,Afghanistan,55 years and over,11,Cranbourne West,2026,27.79866666666667
M,Afghanistan,55 years and over,48,Dandenong,2026,27.79866666666667
M,Afghanistan,55 years and over,10,Dandenong North,2026,27.79866666666667
M,Afghanistan,55 years and over,7,Doveton,2026,27.79866666666667
M,Afghanistan,55 years and over,21,Endeavour Hills,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Eumemmerring,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Footscray,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Glen Waverley,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Glenroy (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,17,Hallam,2026,27.79866666666667
M,Afghanistan,55 years and over,25,Hampton Park,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Lalor,2026,27.79866666666667
M,Afghanistan,55 years and over,7,Lynbrook,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Lysterfield,2026,27.79866666666667
